OBJECTID,GRID,SHAPE_Leng,SHAPE_Area,mortality_score,community_score,egress_score,populated_score,utility_score,priority_score,priority_class,priority_rank
34,157,2536.96094623,398801.665999,33.46221473372364,100.0,36.744330386995145,81.49090302527422,21.026252942074773,51.83964904388218,High,4
35,158,2536.96396374,398802.578535,33.46221473372364,77.77777777777779,0.0,98.71806457291208,93.71929120324286,55.5068376818526,High,2
36,159,2536.96798705,398803.691733,33.46221473372364,0.0,0.0,97.9695643494903,64.55521068485383,39.31585889274323,Medium,26
37,164,2536.94133259,398796.052459,66.92442946745119,0.0,3.291407692437727,46.36018518542974,21.163169890231657,33.182122899343604,Medium,31
38,165,2536.94334426,398796.601666,49.74302969076449,0.0,0.0,12.701199134509256,13.34331602880865,19.464646138452494,Low,58
39,166,2536.93202866,398792.532684,33.46221473372364,0.0,0.0,0.0,0.0,10.038664420117092,Low,77
40,167,2536.94158406,398795.991713,33.462214733723656,0.0,16.202579712489804,89.90313674131806,8.798442154294232,32.579574034022805,Medium,32
41,168,2536.94208697,398796.284288,33.46221473372364,44.44444444444444,0.0,99.89671198425147,80.04989190025854,48.69215726867284,Medium,6
42,169,2536.93781219,398794.788209,33.46221473372364,0.0,0.0,99.99999999999143,43.60036881861916,36.578719742908255,Medium,27
43,174,2539.03572009,399398.755101,66.92442946744397,0.0,7.518533923735009,30.111205315826545,1.4145240795137053,27.815455300072557,Medium,43
44,175,2538.96229463,399377.719068,64.12098804774547,0.0,8.34461141141227,0.0,0.0,20.905218696606095,Low,57
45,176,2538.8652322,399348.480734,45.870406291703,0.0,9.040443701308618,0.0,0.0,15.569210627772623,Low,63
46,177,2538.81217445,399334.080207,33.1931842257214,0.0,5.628162937833882,54.93923861657349,7.5079730963483,23.19763154305014,Low,53
47,178,2538.75132182,399316.691344,32.73485571634327,0.0,0.0,58.76022507832602,21.537066180638494,24.80306165766396,Low,49
48,179,2537.77606615,399015.64409,33.462214366907,0.0,0.0,32.80263733127039,0.0,16.599191776326176,Low,62
49,104,2539.02239229,399394.29407,33.462214499652006,0.0,0.0,7.887147126819968,0.0,11.616093775259595,Low,68
50,114,2536.94133262,398796.037691,19.231367306094597,0.0,16.40334732247715,99.99999999998771,3.262911278249525,29.53951634805878,Medium,40
51,124,2536.94057823,398795.953738,7.21353588662977,0.0,70.41597762414064,99.99999999999794,73.10284318687033,47.2126827688472,Medium,9
52,134,2536.93932093,398795.340606,14.047493782419773,0.0,0.0,99.99999999999142,43.8283835037487,30.788505660286518,Medium,36
53,105,2538.96053413,399377.123098,33.46221363542875,0.0,0.0,7.77674239935824,0.0,11.594012570500274,Low,69
54,115,2536.93881804,398795.329008,29.911097500655888,55.55555555555556,0.0,99.99999999999143,51.04548472932584,44.96348529292726,Medium,13
55,125,2536.9408297,398795.892995,7.199142649695857,0.0,58.7193266015517,99.99999999998425,9.228654738561042,35.28790632600011,Medium,28
56,135,2536.94158407,398796.110039,13.384885893489459,0.0,0.0,99.99999999999143,71.4743129276773,34.73661270719672,Medium,30
57,106,2538.87126683,399350.574902,33.46221419239141,0.0,0.0,4.023323572685618,0.0,10.843328972254545,Low,72
58,116,2536.92146748,398789.464556,33.46221473372364,0.0,0.0,53.59108185343112,16.832598335276952,23.281770541094858,Low,51
59,126,2536.92197038,398789.372626,17.219102836117766,0.0,7.29701858569223,77.99025830634054,0.0,22.223186229241886,Low,54
60,136,2536.92322768,398789.749153,13.967381817826215,0.0,66.05161197801303,97.60034353900143,32.832753451747685,41.84551866651291,Medium,19
61,107,2542.85179013,400743.000333,33.46221470669119,0.0,0.0,0.0,0.0,10.038664412007357,Low,79
62,117,2540.24796353,399933.05697,33.46221473372364,0.0,0.0,0.0,0.0,10.038664420117092,Low,77
63,127,2538.27568841,399242.51428,27.196861503914306,0.0,0.0,0.0,0.0,8.15905845117429,Low,80
64,137,2536.94309279,398796.662423,24.757465218806214,0.0,0.0,75.65232574522362,36.461316001557954,28.02690211492028,Medium,42
65,150,2537.93075374,399150.444528,35.590771509669125,0.0,0.0,0.0,0.0,10.677231452900736,Low,73
66,160,2537.94200901,399110.041585,33.462214473011876,0.0,0.0,47.41843512934564,37.45435820141354,25.14050509798472,Medium,48
67,170,2536.73029771,398761.543647,33.46221469938151,0.0,0.0,49.244944501689844,10.086405861585392,21.400614189390232,Low,56
68,180,2537.83470444,399078.054833,33.46221379034293,0.0,0.0,16.25643859071575,0.0,13.289951855246029,Low,65
69,128,2538.6476172,399338.994749,33.46221473372364,0.0,0.0,4.288167652010312,0.0,10.896297950519154,Low,71
70,138,2536.9435957,398796.836694,33.46221473372227,0.0,0.0,32.44006393378126,2.7526809052893477,16.939579342666335,Low,61
71,129,2530.03302978,396707.698928,45.57267562159264,0.0,0.0,99.99999999999143,78.90290586600565,45.50723856637693,Medium,12
72,139,2536.93856656,398795.241863,51.12216897799679,0.0,0.0,19.19653827431506,16.289003661727207,21.61930889752113,Low,55
73,130,2526.5471544,395867.158159,100.0,0.0,0.0,82.45169644974476,53.26039238757486,54.47939814808518,High,3
74,140,2538.87528911,399466.665147,92.26068314626235,0.0,0.0,15.869485274115751,0.0,30.852101998701855,Medium,35
75,120,2529.87887439,396654.462183,82.50239470310282,0.0,0.0,8.07782235845152,0.0,26.366282882621153,Medium,45
76,110,2532.82807403,397288.643677,49.864917837380325,0.0,0.0,0.0,0.0,14.959475351214097,Low,64
77,108,2541.90101822,400431.832416,34.876316722549745,0.0,0.0,0.0,0.0,10.462895016764923,Low,74
78,109,2535.48022244,398208.274837,37.14876913209736,0.0,0.0,0.0,0.0,11.144630739629207,Low,70
79,118,2540.05443866,399848.248726,33.46221473372364,0.0,0.0,0.39994801823239673,0.0,10.118654023763572,Low,75
80,119,2534.10770558,397755.139911,33.46221473372364,0.0,0.0,9.41608925602122,0.0,11.921882271321337,Low,67
